ref_date,SRS,PRS
2020-07-17,0.06419245553081132,0.13704370304400915
2020-07-18,0.05922280774777191,0.11082609844735186
2020-07-19,0.06395094130766192,0.12374166765287312
2020-07-20,0.04583136034186694,0.09034337809165316
2020-07-21,0.05074499220906514,0.09523942584947996
2020-07-22,0.06259294505250623,0.11287514343451656
2020-07-23,0.06601103152787388,0.1114001031322374
2020-07-24,0.06762728512188518,0.12056981897628068
2020-07-25,0.06234833251971249,0.11472815081198724
2020-07-26,0.06915387340729334,0.1100700361043152
2020-07-27,0.06338357289417597,0.10291989496462887
2020-07-28,0.05758076635866734,0.10039727954614568
2020-07-29,0.05816593642427307,0.10955930853795082
2020-07-30,0.06733282893664043,0.11392328044326618
2020-07-31,0.06737174573428092,0.11547597073276208
2020-08-01,0.04060628312050644,0.08455449840462496
2020-08-02,0.0761708769813489,0.1330598904285694
2020-08-03,0.07773660465521226,0.12060361494427528
2020-08-04,0.07144424414903529,0.11436593392516428
2020-08-05,0.08116790923985048,0.12463570104044631
2020-08-06,0.08189844268290433,0.12026089054997818
2020-08-07,0.08221117892163242,0.11350956216382446
2020-08-08,0.0773760443178487,0.10366882660532176
2020-08-09,0.07903090751841865,0.10928393439133503
2020-08-10,0.08473233833317446,0.12949912908927316
2020-08-11,0.09485948456002978,0.1684824178825945
2020-08-12,0.09588605867440332,0.18196687910700335
2020-08-13,0.09414134258239357,0.16692312165996362
2020-08-14,0.09383522879721148,0.1809237861765784
2020-08-15,0.09349268024917975,0.1645194423394102
2020-08-16,0.1049139734398304,0.19041632126937025
2020-08-17,0.09614290931734296,0.1865958591577984
2020-08-18,0.091821751434324,0.1837594228191171
2020-08-19,0.0902043786924643,0.17066674233115475
2020-08-20,0.06533838388936902,0.1685422435940467
2020-08-21,0.06720809106207093,0.1659993417622411
2020-08-22,0.06595058480692105,0.16109773401109695
2020-08-23,0.0800293125623912,0.18105229093671596
2020-08-24,0.04118743619703412,0.12696993434970436
2020-08-25,0.07208126247136565,0.12942003124492546
2020-08-26,0.07693984655546823,0.1479210894966514
2020-08-27,0.04638468071789863,0.1264962368179225
2020-08-28,0.04214675606905306,0.11930753311436378
2020-08-29,0.08036538126160647,0.13411531028860466
2020-08-30,0.03860107961466663,0.08799531321750646
2020-08-31,0.04545354470062683,0.10843056082508244
2020-09-01,0.09836884654821992,0.1599595215474326
2020-09-02,0.0862745608327308,0.1348298122794939
2020-09-03,0.08767330470135141,0.13348030369262534
2020-09-04,0.09014440469089673,0.13459551695228475
2020-09-05,0.08732878820669888,0.13171290578585892
2020-09-06,0.07174995762818805,0.12380791053711028
2020-09-07,0.11275062142684956,0.16330722961751257
2020-09-08,0.06969621575898544,0.14928214855646993
2020-09-09,0.0701006018952889,0.1482360524427117
2020-09-10,0.06528765940402198,0.13167509915587686
2020-09-11,0.06696393093159303,0.13194604228697152
2020-09-12,0.07002956011890014,0.13795474745624822
2020-09-13,0.07517876944665552,0.14329534519795106
2020-09-14,0.06812314437661776,0.13312095734934049
2020-09-15,0.05205077542836976,0.10873534296216696
2020-09-16,0.0548459666381234,0.11936788929604242
2020-09-17,0.0553918298333952,0.1187278227707266
2020-09-18,0.05082366795008956,0.1057258691708956
2020-09-19,0.05318084341187841,0.10849353522370514
2020-09-20,0.06510726692554565,0.12943238510039268
2020-09-21,0.06888126208368128,0.1441196498724517
2020-09-22,0.11036554721066465,0.161130066216865
2020-09-23,0.12021378389947358,0.1877814438956002
2020-09-24,0.10199066746571143,0.1638630655869861
2020-09-25,0.10219474939901135,0.1579240781122654
2020-09-26,0.10184044776118188,0.15204027282752555
2020-09-27,0.10985555396227144,0.16179321568688637
2020-09-28,0.09737554420625057,0.14890924864476857
2020-09-29,0.10511692896482676,0.16199262795985586
2020-09-30,0.10068019641683015,0.15803823349074778
2020-10-01,0.10900491724515073,0.16652850192558527
2020-10-02,0.11378016538096658,0.1656372082093211
2020-10-03,0.10944108322397242,0.15390971670907455
2020-10-04,0.1084436871318386,0.15777722927598978
2020-10-05,0.10337346359179872,0.1587258918863265
2020-10-06,0.10720105178686656,0.17041702312469287
2020-10-07,0.10190836935588768,0.16492452926490497
2020-10-08,0.05809923806207914,0.12410630660846245
2020-10-09,0.06355918245062235,0.12956102503451047
2020-10-10,0.06617047507068487,0.12418416933827016
2020-10-11,0.06545995123016447,0.12440367400045822
2020-10-12,0.06289901304249741,0.13072669669579223
2020-10-13,0.06108324301849383,0.12650441256129638
2020-10-14,0.06620331997752571,0.1346751874589949
2020-10-15,0.06822701660044725,0.1337427999369169
2020-10-16,0.07029058506540475,0.13016334470768234
2020-10-17,0.07442872138780485,0.1326832913105326
2020-10-18,0.11807417356246108,0.17289584010217168
2020-10-19,0.06454531562895575,0.12023878152381802
2020-10-20,0.08297749401070979,0.13485153636019526
2020-10-21,0.06533754366302447,0.11541026987635908
2020-10-22,0.11285781668014493,0.1555457849818299
2020-10-23,0.11147864415726769,0.1501380333754235
